variable,roi,hemi,medida,outcome,n,rho,p,ic_low,ic_high,covariables,rho_MPPP,n_MPPP,rho_Vestibular,n_Vestibular,rho_Voluntario Sano,n_Voluntario Sano,familia_fdr,etapa,p_fdr,sobrevive_fdr,n_familia,grupos_mismo_signo,grupos_validos,coherente
13_middletemporal_thickness_rh,Temporal medio,rh,thickness,CSE_NI,46,0.14279222868393657,0.3670000422486653,-0.17165846282421693,0.4109485126210909,Edad+Genero+Grupo,-0.2026564234360424,17,0.23153524350774116,19,,10,thickness_CSE_NI,B,0.8257500950594969,False,18,1,2,False
13_middletemporal_thickness_rh,Temporal medio,rh,thickness,EntropyRatio_NI,46,0.20432191764566968,0.19430837378992794,-0.04125908758608836,0.4552701602923718,Edad+Genero+Grupo,0.08670894938077967,17,0.33555760935778967,19,,10,thickness_EntropyRatio_NI,B,0.5838183344859403,False,18,2,2,True
13_middletemporal_area_lh,Temporal medio,lh,area,CSE_NI,46,0.02913965135445623,0.8564830500437588,-0.3007957441436179,0.31925972731359287,Edad+Genero+Grupo+eTIV,-0.0656980396595879,17,0.24495536280124014,19,,10,area_CSE_NI,B,0.9068644059286858,False,18,1,2,False
13_middletemporal_area_lh,Temporal medio,lh,area,EntropyRatio_NI,46,-0.18888955562035772,0.2369029810662312,-0.4714962697743441,0.11822983221835885,Edad+Genero+Grupo+eTIV,0.245590024895343,17,-0.09784053334687835,19,,10,area_EntropyRatio_NI,B,0.7409055820695348,False,18,1,2,False
13_middletemporal_area_rh,Temporal medio,rh,area,CSE_NI,46,-0.0011847345682684716,0.9941344865861598,-0.3785565616250066,0.28961133450157234,Edad+Genero+Grupo+eTIV,-0.08518635390896875,17,0.2350016518496841,19,,10,area_CSE_NI,B,0.9941344865861598,False,18,1,2,False
13_middletemporal_area_rh,Temporal medio,rh,area,EntropyRatio_NI,46,-0.17528665465202928,0.2729972932608726,-0.4972461983238233,0.13584940982112123,Edad+Genero+Grupo+eTIV,-0.19834960042220914,17,0.12581506390347022,19,,10,area_EntropyRatio_NI,B,0.7409055820695348,False,18,1,2,False
13_middletemporal_volume_lh,Temporal medio,lh,volume,CSE_NI,46,-0.03738823378694341,0.8164766699355096,-0.34999098836656906,0.23201608123913528,Edad+Genero+Grupo+eTIV,-0.22352192706130178,17,0.23404558220008922,19,,10,volume_CSE_NI,B,0.997101858562917,False,70,1,2,False
13_middletemporal_volume_lh,Temporal medio,lh,volume,EntropyRatio_NI,46,-0.21596735847555534,0.17504586447805484,-0.5338955952303719,0.06470988100563017,Edad+Genero+Grupo+eTIV,0.035366543470199525,17,0.032616332857983744,19,,10,volume_EntropyRatio_NI,B,0.8547613156626654,False,70,0,2,False
13_middletemporal_volume_rh,Temporal medio,rh,volume,CSE_NI,46,-0.013051631415399079,0.9354498151579145,-0.3295694854857363,0.2421601485419625,Edad+Genero+Grupo+eTIV,-0.4696391824113578,17,0.29957352515373853,19,,10,volume_CSE_NI,B,0.997101858562917,False,70,1,2,False
13_middletemporal_volume_rh,Temporal medio,rh,volume,EntropyRatio_NI,46,-0.13106957898721908,0.41402379369232367,-0.45289840499248335,0.13018303151998264,Edad+Genero+Grupo+eTIV,-0.24026620955444303,17,0.3216496831533705,19,,10,volume_EntropyRatio_NI,B,0.8716044516344055,False,70,1,2,False
13_middletemporal_LGI_lh,Temporal medio,lh,LGI,CSE_NI,45,0.028503788452004127,0.8595831452700472,-0.2949938135698928,0.3495276706319116,Edad+Genero+Grupo,-0.048053185654010816,17,0.2742769924460871,18,,10,LGI_CSE_NI,B,0.910146859697697,False,18,1,2,False
13_middletemporal_LGI_lh,Temporal medio,lh,LGI,EntropyRatio_NI,45,-0.0977712739190956,0.5430940053475927,-0.40278411018491433,0.24926972636007563,Edad+Genero+Grupo,-0.16662034785698795,17,0.21357684089181342,18,,10,LGI_EntropyRatio_NI,B,0.8694307920291662,False,18,1,2,False
13_middletemporal_LGI_rh,Temporal medio,rh,LGI,CSE_NI,45,0.3113963124808284,0.04749840069414234,0.018374937222554996,0.5813456607537646,Edad+Genero+Grupo,0.3374777322321176,17,0.4732419806756158,18,,10,LGI_CSE_NI,B,0.7597739921635027,False,18,2,2,True
13_middletemporal_LGI_rh,Temporal medio,rh,LGI,EntropyRatio_NI,45,0.026486710723142248,0.8694307920291662,-0.30499590231798224,0.3597242254461,Edad+Genero+Grupo,-0.050814932461500886,17,0.2981946840448172,18,,10,LGI_EntropyRatio_NI,B,0.8694307920291662,False,18,1,2,False
14_comp_thickness_lh,Cingulada anterior,lh,thickness,CSE_NI,46,0.1588037522012849,0.3151377861840492,-0.1213154969486913,0.41260192418054464,Edad+Genero+Grupo,0.28106654900990496,17,0.06540855296268913,19,,10,thickness_CSE_NI,B,0.8257500950594969,False,18,2,2,True
14_comp_thickness_lh,Cingulada anterior,lh,thickness,EntropyRatio_NI,46,0.2407894763035517,0.12451362385787014,0.013110217723811643,0.47864757983780415,Edad+Genero+Grupo,0.011186298013391311,17,0.37058926544531495,19,,10,thickness_EntropyRatio_NI,B,0.5838183344859403,False,18,2,2,True
14_comp_thickness_rh,Cingulada anterior,rh,thickness,CSE_NI,46,0.07768927578840554,0.6248205708819787,-0.27400719887957514,0.4286341869523002,Edad+Genero+Grupo,0.5553151959942302,17,0.03182820539259739,19,,10,thickness_CSE_NI,B,0.8898006814301063,False,18,2,2,True
14_comp_thickness_rh,Cingulada anterior,rh,thickness,EntropyRatio_NI,46,0.23250242602169335,0.13841856789239795,-0.10305197251714482,0.48726734050743115,Edad+Genero+Grupo,0.5788133931561416,17,0.14938934767821535,19,,10,thickness_EntropyRatio_NI,B,0.5838183344859403,False,18,2,2,True
14_comp_area_lh,Cingulada anterior,lh,area,CSE_NI,46,0.0880612867026571,0.5840386469862034,-0.2350294089880604,0.371619801453305,Edad+Genero+Grupo+eTIV,0.1802087103156538,17,0.22072484269086937,19,,10,area_CSE_NI,B,0.8572612322209393,False,18,2,2,True
14_comp_area_lh,Cingulada anterior,lh,area,EntropyRatio_NI,46,0.1305841127861097,0.4157701880801356,-0.22920333858086325,0.45870353902021554,Edad+Genero+Grupo+eTIV,0.4854464467622162,17,0.06100299051590424,19,,10,area_EntropyRatio_NI,B,0.7483863385442441,False,18,2,2,True
14_comp_area_rh,Cingulada anterior,rh,area,CSE_NI,46,-0.24540098482732364,0.12198525925771726,-0.5196729441747742,0.08801352813661652,Edad+Genero+Grupo+eTIV,-0.3573277345141452,17,-0.22980919350538176,19,,10,area_CSE_NI,B,0.4327470270733143,False,18,2,2,True
14_comp_area_rh,Cingulada anterior,rh,area,EntropyRatio_NI,46,-0.011369864746070395,0.9437531880759545,-0.29114994506521397,0.2806118703092976,Edad+Genero+Grupo+eTIV,0.14405735772194053,17,-0.2702945472368363,19,,10,area_EntropyRatio_NI,B,0.9522566845388596,False,18,1,2,False
