variable,roi,hemi,medida,outcome,n,rho,p,ic_low,ic_high,covariables,rho_MPPP,n_MPPP,rho_Vestibular,n_Vestibular,rho_Voluntario Sano,n_Voluntario Sano,familia_fdr,etapa,p_fdr,sobrevive_fdr,n_familia,grupos_mismo_signo,grupos_validos,coherente
6_entorhinal_area_rh,Corteza entorrinal,rh,area,CSE_NI,46,-0.010277830621334548,0.9491480807465154,-0.2845515083196354,0.35254645002857504,Edad+Genero+Grupo+eTIV,0.43346770216692104,17,-0.09915473041338535,19,,10,area_CSE_NI,B,0.9491480807465154,False,14,1,2,False
6_entorhinal_area_rh,Corteza entorrinal,rh,area,EntropyRatio_NI,46,0.16135025642887063,0.3135416651691061,-0.14921448169371132,0.484352506069687,Edad+Genero+Grupo+eTIV,0.22790825395459308,17,-0.0254960462766455,19,,10,area_EntropyRatio_NI,B,0.7166391190797449,False,14,1,2,False
6_entorhinal_volume_lh,Corteza entorrinal,lh,volume,CSE_NI,46,0.28337682658096014,0.072592109726339,-0.03885673138390087,0.5526436564606773,Edad+Genero+Grupo+eTIV,0.08888014139707086,17,0.39922622769961247,19,,10,volume_CSE_NI,B,0.23229475112428483,False,16,2,2,True
6_entorhinal_volume_lh,Corteza entorrinal,lh,volume,EntropyRatio_NI,46,0.252111340946993,0.11179324936713957,-0.04913000212600629,0.5195269728457735,Edad+Genero+Grupo+eTIV,-0.1405379169527005,17,0.28319804862239484,19,,10,volume_EntropyRatio_NI,B,0.41436148106741777,False,16,1,2,False
6_entorhinal_volume_rh,Corteza entorrinal,rh,volume,CSE_NI,46,0.05104387899045289,0.7512896322198452,-0.28842226577107843,0.38819024897657356,Edad+Genero+Grupo+eTIV,0.10874408544312392,17,0.09901625570278906,19,,10,volume_CSE_NI,B,0.8537245907281243,False,16,2,2,True
6_entorhinal_volume_rh,Corteza entorrinal,rh,volume,EntropyRatio_NI,46,0.15791321502231784,0.3240972649154102,-0.17581564116775772,0.46357108748477915,Edad+Genero+Grupo+eTIV,0.10415397404347183,17,0.11380925733998862,19,,10,volume_EntropyRatio_NI,B,0.43212968655388023,False,16,2,2,True
6_entorhinal_LGI_lh,Corteza entorrinal,lh,LGI,CSE_NI,45,0.07462568829374512,0.6428571208286492,-0.258383891300754,0.37709119307636635,Edad+Genero+Grupo,0.24428116923430765,17,-0.18732578911914752,18,,10,LGI_CSE_NI,B,0.7956320625816907,False,14,1,2,False
6_entorhinal_LGI_lh,Corteza entorrinal,lh,LGI,EntropyRatio_NI,45,-0.0205964942450221,0.8982939080061468,-0.31105658293631666,0.2968684468318526,Edad+Genero+Grupo,0.20720981390321716,17,-0.15899384601937003,18,,10,LGI_EntropyRatio_NI,B,0.8982939080061468,False,14,1,2,False
6_entorhinal_LGI_rh,Corteza entorrinal,rh,LGI,CSE_NI,45,-0.1086440871734536,0.49894303970898096,-0.43136796320776966,0.21259244696757582,Edad+Genero+Grupo,-0.23572990745456776,17,-0.3087440959422559,18,,10,LGI_CSE_NI,B,0.7761336173250815,False,14,2,2,True
6_entorhinal_LGI_rh,Corteza entorrinal,rh,LGI,EntropyRatio_NI,45,-0.07298182139014316,0.6502136116273136,-0.3386901233061661,0.22478310283610536,Edad+Genero+Grupo,0.12533325310130966,17,-0.34455199459704083,18,,10,LGI_EntropyRatio_NI,B,0.8982939080061468,False,14,1,2,False
7_precuneus_thickness_lh,Precúneo,lh,thickness,CSE_NI,46,0.03643039608461641,0.8188325080816965,-0.32622027131754794,0.3472184442792128,Edad+Genero+Grupo,-0.21159644858560742,17,0.05045745273625285,19,,10,thickness_CSE_NI,B,0.8188325080816965,False,14,1,2,False
7_precuneus_thickness_lh,Precúneo,lh,thickness,EntropyRatio_NI,46,0.02644644439635028,0.8679609068253451,-0.3219479262325266,0.33858234215664473,Edad+Genero+Grupo,-0.003123904297524795,17,-0.011656309295288554,19,,10,thickness_EntropyRatio_NI,B,0.8679609068253451,False,14,0,2,False
7_precuneus_thickness_rh,Precúneo,rh,thickness,CSE_NI,46,0.07464301131468268,0.6384981525499372,-0.2890816445678799,0.37677198488078334,Edad+Genero+Grupo,0.09415237027480196,17,0.050001122053431345,19,,10,thickness_CSE_NI,B,0.7449145113082601,False,14,2,2,True
