variable,roi,hemi,medida,outcome,n,rho,p,ic_low,ic_high,covariables,rho_MPPP,n_MPPP,rho_Vestibular,n_Vestibular,familia_fdr,etapa,p_fdr,sobrevive_fdr,n_familia,grupos_mismo_signo,grupos_validos,coherente
7_precuneus_thickness_rh,Precúneo,rh,thickness,Niigata,31,-0.45330804499899724,0.015409567298674442,-0.7001077996115457,-0.07887448212134945,Edad+Genero+Grupo,-0.7372661336785158,14,-0.34670130598717896,17,thickness_Niigata,B,0.06163826919469777,False,32,2,2,True
7_precuneus_thickness_rh,Precúneo,rh,thickness,DHI,30,-0.5121050712495627,0.006318562766284882,-0.7589646690451156,-0.17156268175904477,Edad+Genero+Grupo,-0.31726748919474673,13,-0.5749558812976794,17,thickness_DHI,B,0.025274251065139527,True,32,2,2,True
7_precuneus_area_lh,Precúneo,lh,area,Niigata,31,-0.1396466089819893,0.48724002132803546,-0.4784035783706175,0.2547583583082725,Edad+Genero+Grupo+eTIV,-0.31685091483511124,14,-0.09934870124173804,17,area_Niigata,B,0.7795840341248568,False,32,2,2,True
7_precuneus_area_lh,Precúneo,lh,area,DHI,30,-0.21209042956389124,0.29826597988151904,-0.5594544480632431,0.30582470114438204,Edad+Genero+Grupo+eTIV,-0.34213115905724867,13,-0.1706607030034969,17,area_DHI,B,0.9548585268453689,False,32,2,2,True
7_precuneus_area_rh,Precúneo,rh,area,Niigata,31,-0.20779013605216753,0.2983281863992682,-0.5926904632502721,0.20660257762702322,Edad+Genero+Grupo+eTIV,-0.3752821462962912,14,-0.22284861408608905,17,area_Niigata,B,0.7795840341248568,False,32,2,2,True
7_precuneus_area_rh,Precúneo,rh,area,DHI,30,-0.06167721067623487,0.7647026478438582,-0.4927877576080173,0.38378650683977594,Edad+Genero+Grupo+eTIV,-0.07024016124712856,13,0.18195542549135463,17,area_DHI,B,0.9548585268453689,False,32,1,2,False
7_precuneus_volume_lh,Precúneo,lh,volume,Niigata,31,-0.32799499984391983,0.0948725762275164,-0.6322548861647923,0.0379545748853331,Edad+Genero+Grupo+eTIV,-0.7919582845488581,14,-0.2721273469935505,17,volume_Niigata,B,0.3950027415269783,False,86,2,2,True
7_precuneus_volume_lh,Precúneo,lh,volume,DHI,30,-0.3945275370296016,0.046096426772628964,-0.6728145004250536,0.027317160040235815,Edad+Genero+Grupo+eTIV,-0.4629374896744424,13,-0.3458711327205513,17,volume_DHI,B,0.5554060348702979,False,86,2,2,True
7_precuneus_volume_rh,Precúneo,rh,volume,Niigata,31,-0.3635871710067123,0.062288069026101775,-0.7014063268366619,0.0009094238131902941,Edad+Genero+Grupo+eTIV,-0.5062724193691356,14,-0.38521425014094246,17,volume_Niigata,B,0.3950027415269783,False,86,2,2,True
7_precuneus_volume_rh,Precúneo,rh,volume,DHI,30,-0.3075558592615573,0.1264065955367697,-0.6662688630775774,0.07945683459502738,Edad+Genero+Grupo+eTIV,-0.012300018854581124,13,-0.3529589663163174,17,volume_DHI,B,0.7655335340193865,False,86,2,2,True
7_precuneus_LGI_lh,Precúneo,lh,LGI,Niigata,31,-0.16240793079368698,0.40897216476878945,-0.5271983399385277,0.31828911519096215,Edad+Genero+Grupo,0.07503826821619516,14,-0.24296261121381385,17,LGI_Niigata,B,0.9703936934456393,False,32,1,2,False
7_precuneus_LGI_lh,Precúneo,lh,LGI,DHI,30,-0.19681685713441666,0.32513189875538556,-0.5647726694546694,0.2804373668369138,Edad+Genero+Grupo,-0.4463971265915809,13,-0.05539304277842575,17,LGI_DHI,B,0.9159612902733524,False,32,2,2,True
7_precuneus_LGI_rh,Precúneo,rh,LGI,Niigata,31,-0.0071668417931512836,0.971127097085344,-0.4012433169263133,0.371092167644729,Edad+Genero+Grupo,0.2786049559551524,14,-0.14590928831714792,17,LGI_Niigata,B,0.9845462157919936,False,32,1,2,False
7_precuneus_LGI_rh,Precúneo,rh,LGI,DHI,30,-0.01012239054245398,0.9600349088212451,-0.3706019616296081,0.3443953439887106,Edad+Genero+Grupo,0.04877771971004789,13,-0.02540942636545949,17,LGI_DHI,B,0.9600349088212451,False,32,1,2,False
8_isthmuscingulate_thickness_lh,Istmo del cíngulo,lh,thickness,Niigata,31,-0.16943565774866823,0.3887152761089225,-0.5364782680517165,0.25890620854834756,Edad+Genero+Grupo,-0.047499158194908464,14,-0.17885378485682063,17,thickness_Niigata,B,0.4784188013648277,False,32,2,2,True
8_isthmuscingulate_thickness_lh,Istmo del cíngulo,lh,thickness,DHI,30,-0.1628379583336545,0.4170608541843999,-0.5568943269694119,0.2532824149355666,Edad+Genero+Grupo,-0.05748874007786915,13,-0.30042578731680625,17,thickness_DHI,B,0.49806733522610597,False,32,2,2,True
8_isthmuscingulate_thickness_rh,Istmo del cíngulo,rh,thickness,Niigata,31,-0.20063820766412566,0.30596236986538283,-0.5623555111018476,0.21369506773649244,Edad+Genero+Grupo,0.0507409392277586,14,-0.12810964372594866,17,thickness_Niigata,B,0.39163183342769003,False,32,1,2,False
8_isthmuscingulate_thickness_rh,Istmo del cíngulo,rh,thickness,DHI,30,-0.3367587589308024,0.08586436144297926,-0.6306173036017658,0.021221241384578808,Edad+Genero+Grupo,-0.24997222346114195,13,-0.29260406935690825,17,thickness_DHI,B,0.11946345939892768,False,32,2,2,True
8_isthmuscingulate_area_lh,Istmo del cíngulo,lh,area,Niigata,31,0.1585174860580301,0.42969251790322527,-0.33302283197262494,0.547809071253554,Edad+Genero+Grupo+eTIV,0.605816099109271,14,-0.01682764648155238,17,area_Niigata,B,0.7795840341248568,False,32,1,2,False
8_isthmuscingulate_area_lh,Istmo del cíngulo,lh,area,DHI,30,0.04670481095570663,0.8207661827627959,-0.37749521280344245,0.4659107339594659,Edad+Genero+Grupo+eTIV,0.2953890655851318,13,-0.0602600375907821,17,area_DHI,B,0.9548585268453689,False,32,1,2,False
8_isthmuscingulate_area_rh,Istmo del cíngulo,rh,area,Niigata,31,0.1524168307826283,0.4478786297405939,-0.25601610074682246,0.5222959342186752,Edad+Genero+Grupo+eTIV,0.13626972210402655,14,0.3085907924836952,17,area_Niigata,B,0.7795840341248568,False,32,2,2,True
8_isthmuscingulate_area_rh,Istmo del cíngulo,rh,area,DHI,30,-0.06509887235590568,0.7520400729284167,-0.4959191579559548,0.39326661561814263,Edad+Genero+Grupo+eTIV,-0.16033760087535784,13,0.05159749045485857,17,area_DHI,B,0.9548585268453689,False,32,1,2,False
8_isthmuscingulate_volume_lh,Istmo del cíngulo,lh,volume,Niigata,31,0.031898531882798155,0.8744990129632799,-0.36162156846067406,0.4351983068595753,Edad+Genero+Grupo+eTIV,0.46398828707033735,14,-0.07461090903152107,17,volume_Niigata,B,0.9400864389355259,False,86,1,2,False
8_isthmuscingulate_volume_lh,Istmo del cíngulo,lh,volume,DHI,30,-0.021961774687857226,0.9151947185747005,-0.4401949777986179,0.4080714970772728,Edad+Genero+Grupo+eTIV,0.29026223625587233,13,-0.13234398616560786,17,volume_DHI,B,0.9598383633832224,False,86,1,2,False
